Name,Positions,AveragePasses,Crosses,LongBalls,ThroughBalls
Anton Stach,",  M(C)  ",30	,0.5	,1.1	,0.3	
Alejandro Balde,",  D(LR)  ",49.9	,0.4	,1.8	,-	
Caio Henrique,",  D(L),M(CL)  ",40.8	,0.9	,1.8	,-	
Diogo Dalot,",  D(LR),M(R)  ",46.2	,0.9	,2.9	,-	
Isi Palazón,",  AM(R)  ",31.9	,1.2	,1.5	,0.1	
Julian Brandt,",  M(CLR),FW  ",33	,1.2	,1.2	,0.1	
Nicolás Tagliafico,",  D(CL),M(L)  ",47.6	,0.3	,1.1	,-	
Eberechi Eze,",  AM(CLR)  ",34.5	,0.9	,1.4	,0.1	
James Tarkowski,",  D(C)  ",48.6	,-	,3.9	,0.1	
Wataru Endo,",  DMC  ",39.6	,-	,2.8	,-	
Axel Disasi,",  D(C)  ",48.3	,0.2	,3.3	,-	
Ben Mee,",  D(CL)  ",47.1	,-	,3.1	,-	
Iago Aspas,",  AM(CR),FW  ",31.8	,0.2	,1.4	,0.1	
Wout Faes,",  D(C)  ",70.3	,-	,2.6	,-	
Jean-Ricner Bellegarde,",  M(CLR)  ",41.7	,2	,1.8	,0.1	
Marvin Ducksch,",  FW  ",25.1	,0.8	,1.1	,0.1	
Kevin Danso,",  D(C)  ",62.2	,-	,2.7	,0.1	
Mohamed Salah,",  AM(CLR),FW  ",25.4	,0.3	,0.5	,-	
Teun Koopmeiners,",  D(C),M(C)  ",42.9	,1.1	,2.5	,0.1	
Danilo,",  D(CLR),DMC  ",49.7	,0.2	,3.9	,0.1	
Koen Casteels,",  GK  ",38	,-	,11.8	,-	
Darwin Núñez,",  AM(CL),FW  ",13.6	,0.1	,0.5	,-	
Lee Kang-In,",  AM(CLR),FW  ",21.8	,1.4	,0.9	,0.1	
Gabriel Magalhães,",  D(C)  ",62.5	,-	,2.4	,-	
Jonathan Bamba,",  AM(CLR),FW  ",37.9	,0.5	,0.9	,0.3	
Dejan Kulusevski,",  AM(CR),FW  ",22.2	,0.6	,0.3	,0.1	
Jordan Pickford,",  GK  ",31.6	,-	,8.1	,0.1	
Gaëtan Laborde,",  AM(CLR),FW  ",18.7	,0.2	,0.4	,0.1	
Daniel Parejo,",  M(C)  ",59.5	,1	,5	,0.3	
Alexis Flips,",  M(CR)  ",23.6	,1.5	,1.8	,0.1	
Youri Tielemans,",  M(C)  ",54.7	,0.4	,2.5	,0.2	
Dayot Upamecano,",  D(C)  ",81	,0.1	,5.3	,-	
Alfonso Pedraza,",  D(L),M(L)  ",26.9	,0.4	,0.5	,-	
Samuel Lino,",  AM(LR),FW  ",32	,0.2	,0.6	,-	
Sheraldo Becker,",  AM(CLR),FW  ",13.2	,1.1	,0.7	,0.1	
Rodrigo,",  M(CLR),FW  ",19.9	,0.2	,1	,-	
Alex Berenguer,",  D(LR),M(CLR),FW  ",27.4	,1.2	,0.7	,-	
Vinicius Souza,",  DMC  ",33.6	,0.1	,2.1	,-	
Giovanni Di Lorenzo,",  D(CLR),M(R)  ",58.5	,0.4	,2.8	,-	
Iñaki Williams,",  AM(CLR),FW  ",18.1	,0.2	,0.3	,0.1	
Declan Rice,",  D(C),DMC  ",61.4	,0.1	,4.7	,-	
Fikayo Tomori,",  D(CR)  ",54	,-	,5.3	,-	
Rony Lopes,",  AM(CLR),FW  ",17.3	,1.1	,1.3	,-	
Rodrigo Becão,",  D(C)  ",41.1	,-	,2.4	,-	
Nico Williams,",  AM(R)  ",21.9	,0.6	,0.2	,-	
Ozan Kabak,",  D(C)  ",54.4	,-	,2.6	,-	
João Palhinha,",  DMC  ",34	,-	,2.1	,-	
Azor Matusiwa,",  DMC  ",42.6	,-	,3.2	,-	
Jeremías Ledesma,",  GK  ",27	,-	,7.4	,-	
Nuno Tavares,",  D(L),M(L)  ",34.5	,0.6	,1.4	,0.1	
Alexander Sørloth,",  AM(R),FW  ",16	,-	,0.1	,-	
Rafael Ratão,",  AM(R)  ",25.7	,0.4	,0.6	,0.1	
Jordi Alba,",  D(L),M(L)  ",63.5	,1.1	,3.1	,0.2	
Luka Modric,",  M(C)  ",57.8	,0.5	,2.8	,0.4	
Edin Dzeko,",  FW  ",16.5	,-	,0.7	,0.3	
Sofiane Boufal,",  AM(CLR),FW  ",31.2	,0.5	,1.4	,0.2	
Stefano Sensi,",  AM(C)  ",56.2	,0.7	,4.5	,0.1	
Federico Fazio,",  D(C)  ",46.4	,-	,2.9	,-	
Maxime Dupé,",  GK  ",31.5	,-	,5.9	,-	
Jordan Siebatcheu,",  FW  ",12.2	,-	,0.1	,-	
Wissam Ben Yedder,",  AM(C),FW  ",18.3	,0.1	,0.2	,-	
Marcus Tavernier,",  M(CLR)  ",27.3	,1.2	,0.8	,-	
Ritsu Doan,",  AM(CLR),FW  ",19.7	,0.3	,0.6	,-	
Álvaro Morata,",  AM(L),FW  ",12.6	,0.1	,0.3	,-	
Stanislav Lobotka,",  DMC  ",57.5	,-	,2.7	,-	
Ludovic Blas,",  M(CLR),FW  ",28.7	,0.6	,2.7	,-	
Malo Gusto,",  D(R),M(R)  ",61.1	,1.9	,2.4	,-	
Jonas Hector,",  D(L),M(CL)  ",44.8	,0.5	,2.8	,-	
Karl Toko-Ekambi,",  AM(LR),FW  ",29.1	,0.3	,1.3	,0.1	
Giacomo Bonaventura,",  M(CLR)  ",35	,0.5	,2	,0.1	
Tetê,",  AM(R)  ",28.3	,0.4	,0.6	,-	
Philip Billing,",  M(C)  ",24.7	,0.1	,0.5	,-	
Jordi Masip,",  GK  ",31.4	,-	,5.4	,-	
Guglielmo Vicario,",  GK  ",35.3	,-	,5.8	,-	
Wojciech Szczesny,",  GK  ",24.3	,-	,5.4	,-	
Youssouf Fofana,",  DMC  ",41	,-	,2.2	,0.3	
Youcef Atal,",  D(R),M(R)  ",26.3	,0.7	,1.3	,-	
Christoph Baumgartner,",  AM(CLR),FW  ",27.1	,0.3	,1.1	,-	
Bremer,",  D(C)  ",60.4	,-	,3.2	,-	
Filip Kostic,",  M(LR),FW  ",26	,1.7	,1.1	,-	
Raphinha,",  AM(LR),FW  ",23.8	,1.1	,1.3	,0.2	
Joachim Andersen,",  D(C)  ",66.5	,-	,6.6	,-	
Pascal Groß,",  M(CR),FW  ",36.9	,1.2	,1.6	,0.1	
Cristiano Biraghi,",  D(L),M(L)  ",48.4	,3.4	,2.6	,-	
Éder Militão,",  D(CR)  ",46.3	,-	,2.7	,-	
Solly March,",  M(CLR)  ",34.3	,0.9	,2.2	,-	
Moisés Caicedo,",  DMC  ",53.9	,0.3	,2.2	,0.1	
Rominigue Kouamé,",  M(C)  ",45.9	,0.1	,2.1	,0.1	
Tomás Soucek,",  DMC  ",35.1	,0.1	,2.2	,-	
Mory Diaw,",  GK  ",30.3	,-	,7.9	,-	
Lucas Tousart,",  DMC  ",25.9	,0.1	,1	,-	
Moses Simon,",  M(CLR),FW  ",19.9	,1.2	,0.5	,0.1	
Marc-André ter Stegen,",  GK  ",32.7	,-	,6.6	,-	
Timo Werner,",  AM(CLR),FW  ",20.7	,-	,0.8	,-	
Giorgos Kyriakopoulos,",  D(L),M(L)  ",26.7	,1.2	,2.1	,-	
Éric Ebimbe,",  M(CR)  ",26.8	,0.1	,0.4	,-	
Nicolas Pépé,",  AM(LR),FW  ",30.8	,0.8	,0.7	,0.1	
Borna Sosa,",  D(L),M(L)  ",35.8	,3.1	,1.6	,-	
David Raya,",  GK  ",38.1	,-	,10.4	,-	
Adrien Truffert,",  D(L),M(L)  ",41.4	,0.3	,0.9	,-	
Marc Oliver Kempf,",  D(C)  ",41.8	,-	,2.3	,-	
Federico Dimarco,",  D(CL),M(L)  ",33.9	,2.3	,3.2	,-	
Chris Smalling,",  D(CR)  ",38.9	,-	,1.9	,-	
Álvaro García,",  AM(L)  ",21.5	,0.8	,0.4	,-	
Sergio Busquets,",  DMC  ",57.2	,0.1	,3.6	,0.3	
Jackson Porozo,",  D(C)  ",33.3	,-	,1.1	,-	
Mark Flekken,",  GK  ",38.3	,-	,9.8	,-	
